STATION_ID,STATION_NAME,FULL_STATION_NAME,STATION_NUMBER,LATITUDE,LONGITUDE,COUNTY_NAME
2274,14 MI SLU AB LINCOLN,14 MI SLU AB LINCOLN VILLAGE W MA,B9D75991220,37.9977,-121368,San Joaquin
2275,SAN JOAQUIN R A LIGH,SAN JOAQUIN R A LIGHT 24,B9D75991266,37.9974,-121444,San Joaquin
2276,14 MI SLU A PLYMOUTH,14 MI SLU A PLYMOUTH ST,B9D80001208,37.9994,-121348,San Joaquin
2277,OLD R A HOLLAND TRAC,OLD R A HOLLAND TRACT,B9D80051348,38.0074,-121581,Contra Costa
2278,HOLLAND CUT N OF RHO,HOLLAND CUT N OF RHODE ISL,B9D80061348,38.0096,-121581,Contra Costa
2279,DUTCH SLU A BETHEL I,DUTCH SLU A BETHEL ISL BR,B9D80071384,38.0119,-121641,Contra Costa
2280,14 MI SLU BL DISAPPO,14 MI SLU BL DISAPPOINTMENT SLU,B9D80081230,38.0124,-121385,San Joaquin
2281,DUTCH SLU A JERSEY I,DUTCH SLU A JERSEY ISL BR,B9D80081396,38.0133,-121662,Contra Costa
2282,DUTCH SLU AB BARRIER,DUTCH SLU AB BARRIER,B9D80081400,38.0133,-121668,Contra Costa
2283,DUTCH SLU BL JERSEY ,DUTCH SLU BL JERSEY ISL BR,B9D80081401,38.0135,-121669,Contra Costa
2284,BIG BREAK AT BIG BRE,BIG BREAK AT BIG BREAK RESORT,B9D80081439,38.0133,-121733,Contra Costa
2285,DISAPPOINTMENT SLU B,DISAPPOINTMENT SLU BY 14 MI SLU,B9D80091231,38.0146,-121385,San Joaquin
2286,SAN JOAQUIN R SO/SID,SAN JOAQUIN R SO/SIDE OF WEST IS.,B9D80111469,38.0177,-121782,Contra Costa
2287,SAN JOAQUIN R BY ANT,SAN JOAQUIN R BY ANTIOCH,B9D80111488,38.0185,-121815,Contra Costa
2288,SAND MOUND SLU E/O J,SAND MOUND SLU E/O JCT W PIPER SL,B9D80121360,38.0205,-121602,Contra Costa
2289,STOCKTON SHIP CH A L,STOCKTON SHIP CH A LIGHT 18,B9D80131279,38.0216,-121466,San Joaquin
2290,MIDDLE R OPP MO COLU,MIDDLE R OPP MO COLUMBIA CUT,B9D80131313,38.0208,-121523,San Joaquin
2291,SAN JOAQUIN R A ANTI,SAN JOAQUIN R A ANTIOCH BR CO-LIN,B9D80151450,38.0244,-121751,Sacramento
2292,SAN JOAQUIN R NO/SID,SAN JOAQUIN R NO/SIDE OF WEST IS.,B9D80151472,38.0249,-121787,Sacramento
2293,SAN JOAQUIN R A ANTI,SAN JOAQUIN R A ANTIOCH BR (L-12),B9D80161452,38.0271,-121754,Sacramento
2294,SAN JOAQUIN R A DUTC,SAN JOAQUIN R A DUTCH SLU,B9D80171434,38028,-121724,Contra Costa
2295,SAN JOAQUIN R A ANTI,SAN JOAQUIN R A ANTIOCH BR,B9D80171450,38.0285,-121751,Sacramento
2296,NEW YORK SLU NR PITT,NEW YORK SLU NR PITTSBURG PT,B9D80191514,38.0316,-121858,Contra Costa
2297,FRANKS TRACT A STA 1,FRANKS TRACT A STA 10,B9D80201356,38.0338,-121.6,Contra Costa
2298,PIPER SLU A BETHEL T,PIPER SLU A BETHEL TRACT,B9D80201372,38.0341,-121622,Contra Costa
2299,SAN JOAQUIN R A MEDF,SAN JOAQUIN R A MEDFORD(WARD) ISL,B9D80211303,38.0349,-121506,San Joaquin
2300,FRANKS TRACT A STA 1,FRANKS TRACT A STA 11,B9D80211352,38.0344,-121588,Contra Costa
